time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-02 13:00:05.769096300+00:00,48.2113,19.9222,0.0,1,-14.6,0.06,147.9389028347207
2026-08-02 13:00:05.849052800+00:00,48.2104,19.927,0.0,1,-7.4,0.086,147.58101022361484
2026-08-02 13:00:47.958817300+00:00,48.1885,19.9567,6.6,2,10.0,0.045,144.45815559414345
2026-08-02 13:01:11.940726+00:00,48.2297,19.9204,0.0,1,-16.5,0.079,149.08968270810095
2026-08-02 13:01:12.205242800+00:00,48.2287,19.9212,0.0,1,-4.7,0.086,148.9819277138832
2026-08-02 13:01:24.478872300+00:00,48.2304,19.9279,0.0,1,-11.8,0.068,148.65241954560108
2026-08-02 13:01:46.393996+00:00,48.2268,19.9134,4.7,2,8.3,0.057,149.37152806315495
2026-08-02 13:01:46.567464500+00:00,48.2267,19.9108,9.1,2,2.7,0.074,149.5318225733012
2026-08-02 13:02:04.049112800+00:00,48.2212,19.9196,6.9,2,2.6,0.042,148.65989709386668
2026-08-02 13:02:24.477524200+00:00,48.2089,19.9165,0.0,1,-3.9,0.092,148.17125960642522
2026-08-02 13:02:31.383976800+00:00,48.1644,20.0341,0.0,1,-5.1,0.089,138.14695413604775
2026-08-02 13:02:31.385632900+00:00,48.1589,20.0349,0.0,1,-4.0,0.065,137.79045223545043
2026-08-02 13:02:31.577486400+00:00,48.1544,20.0107,0.0,1,-7.4,0.076,139.10558665115207
2026-08-02 13:02:31.716399600+00:00,48.1559,20.0096,0.0,1,-7.6,0.048,139.2583275527979
2026-08-02 13:02:37.541190+00:00,48.2229,19.9396,0.0,1,-8.6,0.074,147.480782994103
2026-08-02 13:02:46.243104900+00:00,48.2068,19.9234,0.0,1,-5.3,0.097,147.6116228505227
2026-08-02 13:02:46.316037100+00:00,48.206,19.9754,0.0,1,-3.8,0.076,144.24034068458081
2026-08-02 13:03:17.931958600+00:00,48.2114,19.9603,0.0,1,6.0,0.103,145.50903313308262
2026-08-02 13:03:26.447985200+00:00,48.2251,19.9126,0.0,1,2.4,0.11,149.3266836958398
2026-08-02 13:03:30.386176100+00:00,48.1641,20.0362,0.0,1,4.5,0.069,137.99542352586454
2026-08-02 13:03:30.409991200+00:00,48.156,20.0465,0.0,1,2.4,0.099,136.88366982208206
2026-08-02 13:03:46.976795900+00:00,48.216,19.9331,0.0,1,4.2,0.093,147.50462717338482
2026-08-02 13:04:29.262675600+00:00,48.2091,19.9519,0.0,1,5.2,0.088,145.91490886121574
2026-08-02 13:05:22.524447+00:00,48.1566,20.0102,0.0,1,7.8,0.1,139.25763189185534
2026-08-02 13:05:22.528694700+00:00,48.1556,20.0095,5.4,2,5.5,0.046,139.24847656289387
2026-08-02 13:05:22.542559400+00:00,48.1575,20.0096,0.0,1,7.1,0.114,139.3454748318877
2026-08-02 13:05:22.552977700+00:00,48.1605,20.0068,0.0,1,4.3,0.098,139.69017120986544
2026-08-02 13:05:22.786060400+00:00,48.1697,19.9763,8.3,2,2.7,0.025,142.16316245332263
2026-08-02 13:05:24.833511800+00:00,48.2371,19.9612,7.3,2,3.3,0.062,146.93081471045238
2026-08-02 13:05:36.083304100+00:00,48.235,19.92,0.0,1,-6.4,0.14,149.4171892776734
2026-08-02 13:05:55.184804300+00:00,48.2388,19.9643,0.0,1,-15.2,0.066,146.8348348667249
2026-08-02 13:06:02.820770600+00:00,48.1643,20.0029,0.0,1,3.0,0.09,140.149927853287
2026-08-02 13:06:44.653954200+00:00,48.2219,19.9244,0.0,1,4.1,0.062,148.39285082382258
2026-08-02 13:07:03.679709500+00:00,48.2487,19.9478,0.0,1,2.7,0.094,148.45342615475707
2026-08-02 13:07:12.472480700+00:00,48.222,19.9398,0.0,1,-3.5,0.031,147.41685513869774
2026-08-02 13:07:12.578997600+00:00,48.2083,19.9148,0.0,1,5.0,0.111,148.24723474437837
2026-08-02 13:07:26.609861100+00:00,48.2489,19.9362,0.0,1,-5.7,0.073,149.19532834400692
2026-08-02 13:07:32.145489800+00:00,48.2363,19.9264,0.0,1,5.3,0.102,149.08534567754933
2026-08-02 13:08:23.457302200+00:00,48.2374,19.9209,0.0,1,4.5,0.095,149.49740466276634
2026-08-02 13:08:23.462102700+00:00,48.2415,19.9224,4.1,2,3.0,0.046,149.63789797831834
2026-08-02 13:08:23.876242200+00:00,48.1951,19.9651,0.0,1,4.4,0.077,144.28490189813144
2026-08-02 13:08:38.052473700+00:00,48.244,19.9262,5.4,2,4.1,0.07,149.5417192819398
2026-08-02 13:08:38.329458900+00:00,48.2032,19.9325,0.0,1,5.5,0.104,146.8274515769074
2026-08-02 13:08:53.196422+00:00,48.2333,19.922,0.0,1,3.3,0.101,149.1929887967302
2026-08-02 13:09:09.420456800+00:00,48.2335,19.927,6.0,2,4.7,0.021,148.88678136482673
2026-08-02 13:09:57.870568100+00:00,48.2189,19.9106,0.0,1,5.4,0.042,149.1065132793764
2026-08-02 13:10:13.909987800+00:00,48.218,19.9391,0.0,1,-4.4,0.094,147.2345501539504
2026-08-02 13:11:06.744360800+00:00,48.1698,20.0088,0.0,1,10.1,0.103,140.07261594855117
2026-08-02 13:11:06.760342200+00:00,48.1664,20.0094,0.0,1,12.2,0.084,139.84625377344437
2026-08-02 13:11:06.783637+00:00,48.1623,20.0134,0.0,1,4.8,0.082,139.3628455332404
2026-08-02 13:11:10.560788700+00:00,48.2256,19.922,6.3,2,5.4,0.068,148.75514955871594
2026-08-02 13:11:10.592202200+00:00,48.232,19.925,0.0,1,3.6,0.098,148.9280904661109
2026-08-02 13:12:34.911606800+00:00,48.2277,19.9265,0.0,1,7.8,0.11,148.58765507583476
2026-08-02 13:12:34.936673700+00:00,48.2289,19.9326,0.0,1,4.4,0.087,148.26803249866143
2026-08-02 13:13:47.645595900+00:00,48.2328,19.9227,0.0,1,-14.9,0.1,149.1199516571837
2026-08-02 13:14:32.114726100+00:00,48.2392,19.9443,0.0,1,2.8,0.087,148.11956863354732
2026-08-02 13:14:32.210758600+00:00,48.2274,19.9451,5.2,2,3.6,0.043,147.38826269057964
2026-08-02 13:14:32.293213700+00:00,48.2344,19.9456,4.9,2,-3.4,0.013,147.75943996742583
2026-08-02 13:16:46.440141100+00:00,48.2356,19.9303,0.0,1,3.1,0.086,148.79779948049466
2026-08-02 13:17:25.611611+00:00,48.235,19.9456,0.0,1,6.7,0.099,147.7941148226874
2026-08-02 13:17:25.988632100+00:00,48.2317,19.9257,5.0,2,-3.6,0.055,148.8664705137992
2026-08-02 13:17:26.004342500+00:00,48.2291,19.935,0.0,1,3.5,0.094,148.12694986169964
2026-08-02 13:18:27.777519+00:00,48.2323,19.9222,5.3,2,5.0,0.064,149.1232053220802
2026-08-02 13:19:24.379858300+00:00,48.2316,19.946,0.0,1,3.6,0.086,147.57257327871167
2026-08-02 13:19:44.805519+00:00,48.1956,20.0058,0.0,1,-4.4,0.076,141.71277861598404
2026-08-02 13:21:45.469768+00:00,48.2431,19.9392,0.0,1,21.5,0.08,148.6681549034597
2026-08-02 13:21:45.483438+00:00,48.2423,19.9382,0.0,1,3.3,0.074,148.6848172017319
2026-08-02 13:21:45.495234+00:00,48.2332,19.9389,0.0,1,7.8,0.121,148.11460012328286
2026-08-02 13:21:45.801473600+00:00,48.1921,19.9822,0.0,1,-4.0,0.072,143.0216685027432
2026-08-02 13:21:45.812299400+00:00,48.1895,19.9738,0.0,1,3.8,0.071,143.41470457025338
2026-08-02 13:22:27.043561700+00:00,48.2467,19.9226,0.0,1,3.9,0.098,149.9256231707479
2026-08-02 13:22:27.212628600+00:00,48.1886,19.9795,7.7,2,3.2,0.063,142.99890839496078
2026-08-02 13:23:08.999446300+00:00,48.253,20.014,0.0,1,-13.9,0.046,144.5751346533493
2026-08-02 13:23:09.083973200+00:00,48.2029,19.9955,0.0,1,-10.1,0.07,142.7844271898021
2026-08-02 13:23:33.918817500+00:00,48.2149,19.8934,0.0,1,3.3,0.104,149.98790495617692
2026-08-02 13:24:36.025369+00:00,48.2338,19.9708,0.0,1,-77.1,0.05,146.13302164575373
2026-08-02 13:24:36.039312600+00:00,48.2343,19.9718,0.0,1,-16.8,0.08,146.09921624567426
2026-08-02 13:24:36.042100200+00:00,48.2252,19.9336,0.0,1,23.0,0.089,147.9935313920768
2026-08-02 13:24:36.043033100+00:00,48.2249,19.9321,0.0,1,-3.1,0.06,148.0719561953271
2026-08-02 13:24:36.053658800+00:00,48.2341,19.9719,0.0,1,-30.1,0.056,146.0812256967659
2026-08-02 13:24:36.068993700+00:00,48.2335,19.9351,0.0,1,-5.8,0.075,148.37276859688694
